Date,SPX Index,US 10 yr yield,Eurostoxx 50,Index,FX,GBPEUR,EURUSD,Stock,Beta_Index,Stock_PnL,Index_Hedge_PnL,FX_Hedge_PnL,Total_Hedged_Return
2/16/2000,-0.01025641025641022,-0.0010683760683760646,0.004044946493685586,0.023679477785918834,0.007330827067669077,0.009400705052879044,0.0003059975520196545,0.06002816960761925,0.9875747417930805,0.06002816960761925,-0.023385254160223776,-0.007330827067669077,0.029312088379726403
2/17/2000,0.00042517313194045947,0.003361344537815114,0.010020281492101768,0.010069297589224702,0.0008086085712508684,-0.0061883463023099106,0.013357805649026222,0.0033302090325422196,1.2152192364429222,0.0033302090325422196,-0.0122364041278942,-0.0008086085712508684,-0.009714803666602849
2/18/2000,-0.030376154322677373,-0.011877569666514431,-0.0068198659880691626,-0.007134459600921184,-0.004785581106277248,0.004130702836004918,-0.00996176293016704,-0.04714480997148707,1.1575843169528295,-0.04714480997148707,0.008258738543959905,0.004785581106277248,-0.03410049032124991
2/21/2000,0.0,0.0006164278008939927,-0.00910703422914061,-0.013527980535279704,-0.0004995940798101506,-0.00429790630564264,0.003252363045024964,-0.01881472359277414,1.2036518893570727,-0.01881472359277414,0.01628297933047512,0.0004995940798101506,-0.002032150182488871
2/22/2000,0.004516785653262634,-0.020329585707685283,-0.0018437098302713784,-0.011000394632991406,0.007560137457044647,-0.007337978664364586,0.011042447573700764,-0.031959719050483226,1.258618123820909,-0.031959719050483226,0.013845296054265242,-0.007560137457044647,-0.02567456045326263
2/23/2000,0.006300982864580584,0.009589687156107418,0.012330689384062676,0.021513957470863154,-0.005395014262681297,-0.005590756615728609,0.007114228456913896,0.03521563133541239,1.257088493167716,0.03521563133541239,-0.027044948379121688,0.005395014262681297,0.013565697218971998
2/24/2000,-0.0053355282981428775,-0.008875739644970349,0.00617577664176161,-0.009342295861070049,-0.0022445289606584096,0.004122938530734643,-0.009153318077803285,0.017718014697510442,1.2774688159838292,0.017718014697510442,0.011934491632211783,0.0022445289606584096,0.03189703529038063
2/25/2000,-0.014828990047509039,-0.006127258444619144,0.017872322131703422,0.01828577061461889,-0.003124414172342771,0.004790344655966283,-0.021086454463299598,0.006963501153125051,1.2440343132152696,0.006963501153125051,-0.022748126088169368,0.003124414172342771,-0.012660210762701546
2/28/2000,0.01101727965440702,0.015175466329434117,-0.01584604722329408,-0.015876089060987364,0.00031342067322781553,0.016098074422636444,-0.0068724997435635204,-0.004148890243283132,1.2806278249414738,-0.004148890243283132,0.02033136140274937,-0.00031342067322781553,0.015869050486238424
2/29/2000,0.013627090983272305,-0.002024291497975672,0.010980565043608115,0.02180470850547578,-0.010402306053390209,-0.004509170678203667,0.006610204503201933,0.02430534526340611,1.2555837598206672,0.02430534526340611,-0.027377637887098957,0.010402306053390209,0.007330013429697361
3/1/2000,0.009345589203905158,-0.0035887033858635897,0.01013387051336978,0.021227096235920673,0.003926038500506657,0.001713900961008763,-0.005438128462959102,-0.024407018067977293,1.289596341685445,-0.024407018067977293,-0.02737438565044818,-0.003926038500506657,-0.05570744221893213
3/2/2000,0.0018634125827476922,-0.00031318509238953407,0.03270781679190993,0.010557903502018906,-0.005550649678314534,-0.002994194928200522,0.0012380068090374063,-0.015982507121234946,1.0874176061308345,-0.015982507121234946,-0.011480850151925752,0.005550649678314534,-0.021912707594846162
3/3/2000,0.019837019453450733,0.0006265664160400863,0.008110802627271152,0.008613050170239944,0.0007611315489026715,0.002206423142927294,-0.012261720762493544,-0.003531736191138335,0.972636883812429,-0.003531736191138335,-0.00837737027770229,-0.0007611315489026715,-0.012670238017743297
3/6/2000,-0.01269541645081862,0.0036005009392610088,0.002607234203390041,0.012377649325626239,-0.001838002281658091,-0.0007338551859100706,0.007719591070310727,-0.024095719244369596,0.9659869903337346,-0.024095719244369596,-0.01195664821946807,0.001838002281658091,-0.034214365182179574
3/7/2000,-0.02563107354378713,-0.005927312431757814,-0.006966874861605077,-0.015423733974846976,0.0034922852244587688,0.002509179926560634,-0.0048654244306417516,0.0,0.913753680207982,0.0,0.01409349368206531,-0.0034922852244587688,0.010601208457606542
3/8/2000,0.00817338192118755,0.0009414718343008222,-0.011396221408089269,-0.008551766798113425,0.0008225765628955273,0.0075086991026189764,-0.0059294705086861965,0.020333875570015092,0.8739261434581115,0.020333875570015092,0.007473612577628388,-0.0008225765628955273,0.026984911584747952
3/9/2000,0.025601814589887972,-0.005643517792757402,-0.0021698120241886443,0.018857624157724073,0.0006322311437061412,-0.006180319922443056,0.008162411050648855,0.003557753877919012,0.8117252418827504,0.003557753877919012,-0.015307209530762571,-0.0006322311437061412,-0.0123816867965497
3/10/2000,-0.00472287024948459,0.006306164275579285,0.011943103525578813,0.005603098544112894,-0.0039173564162506835,-0.001280331666870027,0.0003113971351462741,0.0056741790670646886,0.7342260947561682,0.0056741790670646886,-0.004113941162577982,0.0039173564162506835,0.00547759432073739
3/13/2000,-0.00820747346011319,-0.0020366598778004397,-0.029980745124898345,-0.015497739278700573,0.0017126546146526422,-0.005677309077589787,0.005810937013593476,-0.023272714324558685,0.7209693708719459,-0.023272714324558685,0.011173395337702197,-0.0017126546146526422,-0.01381197360150913
3/14/2000,-0.017685491681241783,-0.01224489795918371,0.0007441368298248818,0.0031235986330391263,-0.0010131712259372483,0.0018418467583496412,-0.006396368513360229,-0.003609133194911407,0.7445570915912506,-0.003609133194911407,-0.002325697513514018,0.0010131712259372483,-0.004921659482488176
3/15/2000,0.024279880807857923,-0.00015893197711369655,-0.0333129212372012,-0.006181498666584462,-0.002789046653143945,-0.0032479470523347764,0.0023881216903749447,0.015942364013430854,0.7464691648945216,0.015942364013430854,0.004614298147441903,0.002789046653143945,0.0233457088140167
3/16/2000,0.04763854469705131,-0.007312033063106016,0.018114751679568775,0.01709322165348226,0.0024790236460716653,-0.002213341530894586,0.0033146882121399823,0.04065630233254813,0.7230752756614635,0.04065630233254813,-0.01235968595903418,-0.0024790236460716653,0.025817592727442287
3/17/2000,0.004113900183068564,-0.00816653322658134,0.01084396249055608,0.00012200329408895705,-0.0014583729630334163,0.0030192864625053772,0.0036134627297128574,0.0061678776428986115,0.7829169094474984,0.0061678776428986115,-9.55184419505405e-05,0.0014583729630334163,0.007530732163981487
3/20/2000,-0.005353472587352415,-0.001775912173070715,0.010582354459173882,0.010140286672766008,-0.003746507493014972,-0.00952205430642572,-0.0003086102252853884,-0.0006816398127680312,0.6553108597033647,-0.0006816398127680312,-0.006645039977168864,0.003746507493014972,-0.003580172296921923
3/21/2000,0.0255658609255609,-0.00776322173702082,-0.0038738648422176336,-0.0009963016076685038,0.0017846899101281455,0.001302487130186769,-0.00020580366330513744,-0.004771604416784703,0.6677657529974347,-0.004771604416784703,0.0006652960932573132,-0.0017846899101281455,-0.005890998233655535
3/22/2000,0.004531853508002781,-0.0037489812550937085,0.00040256502279634176,-0.0012541742848939386,0.004962779156327368,0.01015857284440047,-0.011218608480856318,0.01849412400887851,0.6416313579251636,0.01849412400887851,0.0008047175494913188,-0.004962779156327368,0.014336062402042462
3/23/2000,0.017799072395777715,-0.005562827225130906,-0.0017462772974462526,-0.0022694262890341488,0.004558404558404616,0.005089526612705342,0.00197772457583012,-0.002690175995851418,0.6352950644625438,-0.002690175995851418,0.001441755320584941,-0.004558404558404616,-0.005806825233671094
3/24/2000,7.2020165646558e-05,0.018591641987495855,0.022931462308547923,0.021820883753373987,0.004663767567908206,-0.0010371545360259304,0.015894452524413127,0.04180633579398618,0.6216718104699429,0.04180633579398618,-0.01356542830901417,-0.004663767567908206,0.023577139917063807
3/27/2000,-0.0023568538619670454,-0.0009691487643354035,-0.0019777870718900026,-0.007612970245603701,-0.003701147983187991,0.0021375351166483814,-0.0036813580120665934,-0.01812283120216751,0.6543127003343546,-0.01812283120216751,0.004981263118966052,0.003701147983187991,-0.009440420100013468
3/28/2000,-0.010584961873137844,-0.005497170573969257,0.010701959915144332,-0.005547912429716417,0.000692607983881155,0.0006703638247302912,-0.008724212254952346,-0.009888287764908132,0.7803958126635417,-0.009888287764908132,0.004329567629174708,-0.000692607983881155,-0.006251328119614579
3/29/2000,0.0005239664926743881,-0.0006503007641033287,-0.0018888542854879065,-0.007714169711733665,0.002705593657585048,0.010048721071863609,-0.009422240629529899,0.0013324206048457299,0.8828639026871824,0.0013324206048457299,0.006810561977692441,-0.002705593657585048,0.005437388924953122
3/30/2000,-0.013655768567867765,-0.014966650398568482,-0.030343480444286808,-0.02327695944717223,0.0007530120481928915,0.003075067832378542,0.0,-0.03257950314350244,0.6825127720275167,-0.03257950314350244,0.015886822116661613,-0.0007530120481928915,-0.01744569307503372
3/31/2000,0.0071643636754663564,-0.008422791081750591,-0.0004607794789384112,0.014739651213306004,-0.0023200401304238616,0.005409954315941379,-0.0012543116964565115,0.018556083095414566,0.7577163559624194,0.018556083095414566,-0.011168474805503278,0.0023200401304238616,0.00970764842033515
4/3/2000,0.004931334997130721,-0.006495669553630901,-0.024988808564543663,-0.011941530840035353,0.003331028847966877,-0.0018534018892742976,-0.001465201465201571,-0.055330832819705966,0.7113714773043698,-0.055330832819705966,0.00849486443495164,-0.003331028847966877,-0.0501669972327212
4/4/2000,-0.00746362809352108,-0.011735121542330362,0.011398159961081289,-0.005431670819083689,-0.00200451014783265,0.0036537885594489783,0.0001048108164762862,0.0028573536282490153,0.8084413526765439,0.0028573536282490153,0.004391187304273729,0.00200451014783265,0.009253051080355394
