Date,SP,VIX,V0_var,Vol_3M,Vol_1Y,Strike,Put_Price_90D,Put_Price_1Y
1999-12-31,1469.25,24.64,0.06071296,23.532544062567524,21.805175052215933,1248.8625,5.640053203660472,35.755554153982814
2000-01-03,1455.22,24.21,0.05861241,23.198304342246463,21.627601661608665,1236.937,5.263920899593728,34.728394684350576
2000-01-04,1399.42,27.01,0.07295401,25.392968308244782,22.81251044423125,1189.507,7.255734192686731,37.85767616795977
2000-01-05,1402.11,26.41,0.06974881,24.91926079149518,22.553097971642767,1191.7935,6.764212332896037,36.94004497477829
2000-01-06,1403.45,25.73,0.06620329,24.38453854382386,22.262620783182765,1192.9325000000001,6.219738641796468,35.87301665374571
2000-01-07,1441.47,21.72,0.0471758399999999,21.28664090655005,20.63400002336111,1225.2495,3.570389924997073,30.66572230374024
2000-01-10,1457.6,21.71,0.04713241,21.27905410364519,20.63013564594347,1238.9599999999998,3.604386744719804,30.994415277997035
2000-01-11,1438.56,22.5,0.050625,21.88077704615997,20.938626979547916,1222.7759999999998,4.039244809324799,31.734164643728207
2000-01-12,1432.25,22.84,0.0521665599999999,22.141164432337273,21.073352461977596,1217.4125,4.238929268326487,32.096215862423605
2000-01-13,1449.68,21.71,0.04713241,21.27905410364519,20.63013564594347,1232.228,3.584801986886262,30.826004349757625
2000-01-14,1465.15,19.66,0.03865156,19.741734820494976,19.861110216006185,1245.3775,2.518437619199254,28.301799609628233
2000-01-18,1455.14,21.5,0.0462249999999999,21.119914978794256,20.549228592928557,1236.8690000000001,3.4747793967616474,30.64039772885252
2000-01-19,1455.9,21.72,0.0471758399999999,21.28664090655005,20.63400002336111,1237.515,3.6061317209537833,30.97270501780511
2000-01-20,1445.57,21.75,0.04730625,21.309406045174494,20.645599486219435,1228.7345,3.5982993928146954,30.795988286980332
2000-01-21,1441.36,20.82,0.0433472399999999,20.607093719592164,20.290506141222604,1225.156,3.0629962144111857,29.40009229997827
2000-01-24,1401.53,24.07,0.05793649,23.089722970008193,21.5701507922939,1191.3005,4.97081424130252,33.234148838882675
2000-01-25,1410.03,23.02,0.05299204,22.279346506474905,21.145142843879796,1198.5255,4.289080073072327,31.862079813533256
2000-01-26,1404.09,23.03,0.05303809,22.28702986346639,21.14914054592608,1193.4765,4.277476641854804,31.74250077402624
2000-01-27,1398.56,23.54,0.0554131599999999,22.67977703502663,21.354310931533423,1188.7759999999998,4.596336253695853,32.36856878804261
2000-01-28,1360.16,26.14,0.06832996,24.70666406539369,22.4373058391534,1156.136,6.347033003068518,35.40800101188472
2000-01-31,1394.46,24.95,0.06225025,23.77418005722836,21.934221328044497,1185.291,5.581734550281027,34.415066075831476
2000-02-01,1409.28,23.45,0.0549902499999999,22.610342875115375,21.317922357201695,1197.888,4.570826271923849,32.48209835677861
2000-02-02,1409.12,23.12,0.05345344,22.356210921926753,21.18516390813677,1197.752,4.351443910025836,31.98874116318916
2000-02-03,1424.97,22.01,0.04844401,21.50699796139692,20.74652370960607,1211.2245,3.7008312113691915,30.72699095704425
2000-02-04,1424.37,21.54,0.0463971599999999,21.150199975200152,20.56460329670816,1210.7144999999998,3.424141207945283,30.04854328218579
2000-02-07,1424.24,22.79,0.05193841,22.102820651185297,21.053467523343546,1210.604,4.183022771243046,31.84301301184439
2000-02-08,1441.72,21.25,0.0451562499999999,20.9309287691486,20.453525591778785,1225.462,3.300329143821628,30.005279482786648
2000-02-09,1411.7,22.9,0.0524409999999999,22.187200095476516,21.09724708009668,1199.945,4.216592264498161,31.723541039541573
2000-02-10,1416.83,23.07,0.05322249,22.31777015779893,21.165141150872337,1204.3055,4.342439007036916,32.08968452549681
2000-02-11,1387.12,24.42,0.05963364,23.36139987023783,21.71411437246841,1179.052,5.1663746814400895,33.421242666679035
2000-02-14,1389.94,24.38,0.0594384399999999,23.330313593921073,21.697604820522574,1181.449,5.148296908578004,33.428311561556484
2000-02-15,1402.05,22.92,0.05253264,22.202550897582952,21.10521985864047,1191.7424999999998,4.200553107793539,31.535811793439848
2000-02-16,1387.67,23.51,0.05527201,22.6566264207337,21.342172817003217,1179.5195,4.5405610958677585,32.07230998202408
2000-02-17,1388.26,23.17,0.05368489,22.39466871073527,21.205211046412504,1180.021,4.319315662053469,31.587916122638035
2000-02-18,1346.09,26.0,0.0676,24.59657293522826,22.377500494516568,1144.1764999999998,6.172580955787623,34.82404844955391
2000-02-22,1352.17,25.86,0.06687396,24.486582029327696,22.31785734230983,1149.3445,6.092159194086463,34.763610338336804
2000-02-23,1360.69,23.89,0.05707321,22.950296612634748,21.49655168981168,1156.5865000000001,4.704040936745756,32.00136861636432
2000-02-24,1353.43,24.38,0.0594384399999999,23.330313593921073,21.697604820522574,1150.4155,5.01306494163542,32.55023937490631
2000-02-25,1333.36,25.2,0.063504,23.969444990183312,22.038906710622992,1133.356,5.5171400922733795,33.28034486967181
2000-02-28,1348.05,24.68,0.06091024,23.563691732468207,21.82177820764536,1145.8425,5.203058006277757,32.8655979302026
2000-02-29,1366.42,23.37,0.05461569,22.54866837001551,21.285642030627557,1161.457,4.379829030808992,31.378598125734158
2000-03-01,1379.19,21.64,0.04682896,21.225968642999657,20.603114607780952,1172.3115,3.3711986656276025,29.23151410912385
2000-03-02,1381.76,21.06,0.0443523599999999,20.787645371602977,20.38124378863382,1174.4959999999999,3.06163827905975,28.502927939859717
2000-03-03,1409.17,19.21,0.03690241,19.40952689186029,19.69876683738648,1197.7945,2.220205339224563,26.65090274565361
2000-03-06,1391.28,21.5,0.0462249999999999,21.119914978794256,20.549228592928557,1182.588,3.3222858825450032,29.29571900449301
2000-03-07,1355.62,24.31,0.0590976099999999,23.275935702643892,21.66874807338644,1152.2769999999998,4.972596317782035,32.49919961794069
2000-03-08,1366.7,23.82,0.0567392399999999,22.89613012621202,21.46801132524173,1161.695,4.6776580538904255,32.039905835241626
2000-03-09,1401.69,22.21,0.04932841,21.659344357422643,20.824635942606896,1191.4365,3.7593100829129042,30.50741024588291
2000-03-10,1395.07,21.24,0.0451137599999999,20.923380015397537,20.449711496740385,1185.8094999999998,3.1880999486274533,29.020820949902742
2000-03-13,1383.62,22.85,0.05221225,22.14883529454975,21.07733242448837,1176.0769999999998,4.101275165934695,31.02077074501551
2000-03-14,1359.15,24.41,0.05958481,23.353627404453068,21.7099856246514,1155.2775000000001,5.055204665804581,32.7324445884332
2000-03-15,1392.15,22.34,0.04990756,21.758530545332963,20.875629428458023,1183.3275,3.8116925511324666,30.483269211043165
2000-03-16,1458.47,20.77,0.04313929,20.569541399676933,20.271682657560707,1239.6995,3.072222912599827,29.679480379939406
2000-03-17,1464.47,22.37,0.05004169,21.78143745590891,20.887421664505197,1244.7995,4.028770658296736,32.11150967067999
2000-03-20,1456.63,22.96,0.05271616,22.233260838706784,21.121177247629035,1238.1355,4.390708130326772,32.824043944771404
2000-03-21,1493.87,21.7,0.047089,21.271468090464545,20.626272324615236,1269.7894999999999,3.687978045524133,31.750851629123815
2000-03-22,1500.64,21.49,0.0461820099999999,21.11234574680157,20.545387587018062,1275.544,3.5774299562022662,31.58372586022591
2000-03-23,1527.35,22.26,0.04955076,21.69747800863771,20.844228355694504,1298.2475,4.1291073758767,33.319675454480375
2000-03-24,1527.46,23.31,0.0543356099999999,22.502440347556337,21.26147215320888,1298.341,4.8526823910958115,34.9800353309991
2000-03-27,1523.86,24.53,0.06017209,23.446936252699867,21.759590260632276,1295.281,5.762322197161026,36.89985683055727
2000-03-28,1507.73,24.86,0.0618019599999999,23.703970868320084,21.896668623417913,1281.5705,5.962744951781829,37.05946071284694
